    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150101, 20160105, 20160101, 20160105, 20160101, 20160107, 20160101, 20150101
20150102, 20160105, 20160102, 20160105, 20160102, 20160108, 20160102, 20150102
20150103, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20150103
20150104, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20150104
20150105, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20150105
20150106, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20150106
20150107, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20150107
20150108, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20150108
20150109, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20150109
20150110, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20150110
20150111, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20150111
20150112, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20150112
20150113, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20150113
20150114, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20150114
20150115, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20150115
20150116, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20150116
20150117, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20150117
20150118, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20150118
20150119, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20150119
20150120, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20150120
20150121, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20150121
20150122, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20150122
20150123, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20150123
20150124, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20150124
20150125, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20150125
20150126, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20150126
20150127, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20150127
20150128, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20150128
20150129, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20150129
20150130, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20150130
20150131, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20150131
